Номер заказа,Дата заказа,Название товара,Категория товара,Количество продаж,Цена за единицу,Общая стоимость
1,2024-05-01,Смартфон Vivo,Электроника,5,5000,25000
2,2024-05-02,Ноутбук,Электроника,2,30000,60000
3,2024-05-03,Мышь Lamzu Atlantics,Компьютерные аксессуары,10,500,5000
4,2024-05-04,Клавиатура Dark Project,Компьютерные аксессуары,7,1500,10500
5,2024-05-05,Монитор MSI,Электроника,3,12000,36000
6,2024-05-06,Принтер HP,Офисное оборудование,1,15000,15000
7,2024-05-07,Смартфон Xiaomi Redmi 12,Электроника,4,20000,80000
8,2024-05-08,Планшет Oppo,Электроника,6,25000,150000
9,2024-05-09,Коврик для мыши Dexp,Компьютерные аксессуары,15,200,3000
10,2024-05-10,Камера,Фототехника,2,40000,80000
